,companies,prices,ratings,locations,published_by,floors,bedrooms,construction_status,Area_sq_ft
0,"
Empire Meadows
",63.7 Lac - 80.3 Lac,"

","
in Miyapur, NH 9
, Hyderabad
","
by Empire Meadows Pvt. Ltd.
",8 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1245 - 1250 sqft
"
1,"
SMR Vinay Iconia
",1.10 Cr - 1.89 Cr,,"
in Kondapur
, Hyderabad
","
by SMR Holdings
",19 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1360 - 1535 sqft
"
2,"
Triumph Villas
",3.26 Cr - 3.66 Cr,,"
in Kismatpur, Outer Ring Road
, Hyderabad
","
by Vaishnavi Estates Pvt. Ltd.
",2 Floor Plan,"
3 BHK
Villa



","
Under Construction
","
3264 - 3661 sqft
"
3,"
Shree Rath Apartments
",52.5 Lac - 1.08 Cr,,"
in Nizampet
, Hyderabad
","
by Unnati Build Tech
",13 Floor Plan,"
2 BHK
Flat



","
Possession in 2025
","
955 - 1025 sqft
"
4,"
Aakriti Miro
",88.3 Lac - 1.24 Cr,,"
in Nallagandla, Serilingampally
, Hyderabad
","
by Aakriti Housing
",19 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1318 - 1400 sqft
"
5,"
Sri Hemadurga Sivahills
",88.4 Lac - 1.42 Cr,,"
in Puppalaguda
, Hyderabad
","
by BRC Infra Pvt. Ltd.
",15 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1230 sqft
"
6,"
Vishnu Vistara
",1.47 Cr - 1.60 Cr,,"
in Hitech City
, Hyderabad
","
by Vishnu Group
",5 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1730 - 1890 sqft
"
7,"
Ridge Towers
",72 Lac - 96.1 Lac,,"
in Balanagar
, Hyderabad
","
by Aigl Properties
",13 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1076 sqft
"
8,"
PBEL City
",90 Lac Onwards,"

","
in Appa junction
, Hyderabad
","
by Indis
",43 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1171 sqft
(Carpet Area)
"
9,"
Lanco Hills
",1.50 Cr - 1.55 Cr,"

","
in Manikonda, Outer Ring Road
, Hyderabad
","
by Lanco Hills Technology Park Pvt. Ltd.
",21 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1580 - 2080 sqft
(Carpet Area)
"
10,"
Jains Carlton Creek
",96 Lac - 1.01 Cr,"

","
in Gachibowli
, Hyderabad
","
by Jain Housing & Constructions Ltd.
",15 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1380 sqft
"
11,"
Sahiti Karthikeya Panorama
",1.10 Cr - 1.35 Cr,,"
in Kakatiya Hills, Nizampet
, Hyderabad
","
by Sahiti Constructions
",8 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
1200 - 1320 sqft
(Carpet Area)
"
12,"
Provident Kenworth
",74 Lac Onwards,,"
in Rajendra Nagar, Outer Ring Road
, Hyderabad
","
by Provident Housing Ltd.
",19 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1100 sqft
(Carpet Area)
"
13,"
Green Grace
",2.40 Cr - 2.48 Cr,,"
in Gachibowli
, Hyderabad
","
by S and S Green Projects Pvt. Ltd.
",11 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
3050 sqft
(Carpet Area)
"
14,"
Jains Four Seasons
",7.25 Cr Onwards,,"
in Kokapet, Outer Ring Road
, Hyderabad
","
by JAIN PROMOTERS & BUILDERS PVT. LTD.
",9 Floor Plan,"
4 BHK
Villa



","
Ready To Move
","
4875 sqft
(Carpet Area)
"
15,"
Aditya Empress Towers
",1.20 Cr - 1.51 Cr,,"
in Shaikpet
, Hyderabad
","
by Aditya Housing And Infrastructure Development
",9 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1600 - 1900 sqft
(Carpet Area)
"
16,"
IRA M3
",49.7 Lac Onwards,,"
in Kollur, Outer Ring Road
, Hyderabad
","
by IRA Realty
",1 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1105 sqft
"
